HeatNo,Fill#1_ScrapName,Fill#1_ScrapWeight,Fill#2_ScrapName,Fill#2_ScrapWeight,Fill#3_ScrapName,Fill#3_ScrapWeight,Fill#4_ScrapName,Fill#4_ScrapWeight,Fill#5_ScrapName,Fill#5_ScrapWeight,Fill#6_ScrapName,Fill#6_ScrapWeight
72704,OCR12VM,20000,E6,17000.0,OCR12VM OSTRUŽKI,3000.0,,,,,,
72717,E6,20500,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72718,E6,21300,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72720,E3,40800,,,,,,,,,,
72722,E6,21100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72723,E6,21300,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72737,E3,25400,E6,15700.0,,,,,,,,
72738,E6,21700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72744,OCR12VM,15000,UTOPMO2,15000.0,E6,10100.0,OCR12VM OSTRUŽKI,5000.0,,,,
72745,OCR12VM,15000,UTOPMO2,15000.0,E6,10300.0,OCR12VM OSTRUŽKI,5000.0,,,,
72747,OCR12VM,15000,UTOPMO2,15000.0,E6,10500.0,OCR12VM OSTRUŽKI,5000.0,,,,
72757,E3,41200,,,,,,,,,,
72772,E6,21600,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72773,E6,20800,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72775,E6,20500,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72778,E8,23500,OCR12VM,20000.0,,,,,,,,
72783,E6,20700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72786,E6,20700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72790,E6,20700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72796,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72805,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72806,OCR12VM,20000,E6,18800.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72812,E6,25400,OCR12VM,20000.0,,,,,,,,
72813,E3,41400,,,,,,,,,,
72832,E3,43200,,,,,,,,,,
72833,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72834,E6,20100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72841,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72843,E6,20100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72844,E6,15000,UTOPMO2,15000.0,OCR12VM,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72852,E6,15200,UTOPMO2,15000.0,OCR12VM,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72853,E6,15200,UTOPMO2,15000.0,OCR12VM,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72860,E6,16100,UTOPMO4,15000.0,OCR12VM,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72863,OCR12VM,20000,E6,16500.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72867,E3,42300,,,,,,,,,,
72868,E3,43200,,,,,,,,,,
72869,E6,21300,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72871,E6,18500,OCR12VM,16000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72877,E3,43500,,,,,,,,,,
72901,E3,42800,,,,,,,,,,
72904,OCR12VM,30000,E6,11600.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72928,OCR12VM,25000,E6,10600.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72934,E3,41700,,,,,,,,,,
72942,OCR12VM,25000,E6,9400.0,UTOPMO2,7000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72943,OCR12VM,25000,UTOPMO2,7000.0,E6,7000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72948,E3,43100,,,,,,,,,,
72949,OCR12VM,25000,E6,9300.0,UTOPMO2,7000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72951,OCR12VM,25000,E6,9400.0,UTOPMO2,7000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72952,OCR12VM,25000,E6,9400.0,UTOPMO2,7000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72956,OCR12VM,20000,E6,18400.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72968,OCR12VM,20000,E6,12500.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72969,OCR12VM,20000,E6,12500.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72971,OCR12VM,20000,E6,12800.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72973,E3,43000,,,,,,,,,,
