HeatNo,LFVD_AlBloki,LFVD_AlGran,LFVD_Boksit,LFVD_CaO,LFVD_CaSi,LFVD_CASIfi13,LFVD_Cfi13,LFVD_CoMet,LFVD_Cu,LFVD_EPŽŽlindra,LFVD_FeAl,LFVD_FeB,LFVD_FeBŽica,LFVD_FeCrNit,LFVD_FeCrA,LFVD_FeCrC,LFVD_FeCrCSi,LFVD_FeCrC51,LFVD_FeMnA,LFVD_FeMnC,LFVD_FeMo,LFVD_FeNbTa,LFVD_FeNbTafi13,LFVD_FeS,LFVD_FeSi,LFVD_FeSiZrŽica,LFVD_FeTi,LFVD_FeTifi13,LFVD_FeV,LFVD_FeW72,LFVD_KarboritMleti,LFVD_MnMet,LFVD_NiGran,LFVD_NiKatode,LFVD_NiOksid,LFVD_OdpCu,LFVD_Polymox,LFVD_SŽica,LFVD_SiMet,LFVD_SiMn,LFVD_SLAGMAG65B,LFVD_KarboritZaVpih,LFVD_Ni90,LFVD_AlŽica,LFVD_Molyquick,LFVD_AlOplašèenaŽica,LFVD_BelaŽlindra,LFVD_Kisik,LFVD_KalcijevKarbid,LFVD_WPaketi,LFVD_SintŽlindra
71756,15,0,100,350,0,23.5,17.2,0,0,0,0,0,0,0,0,1300,0,0,0,100,630,0,0,0,140,0,0,0,570,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71765,20,0,270,500,0,16.5,0.0,0,0,0,0,0,0,0,0,1050,0,0,0,60,640,0,0,0,130,0,0,0,570,0,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71774,15,0,120,400,0,23.5,17.2,0,0,0,0,0,0,0,0,650,0,0,0,0,640,0,0,0,100,0,0,0,580,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71777,20,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,400,0,0,0,70,380,0,0,0,100,0,0,0,420,0,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71778,20,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,350,0,0,0,70,360,0,0,0,100,0,0,0,410,0,120,0,0,0,0,0,0,0.0,0,0,150,0,0,0.0,0,0.0,0,0,0,0,0
71780,10,0,70,300,0,16.5,10.3,0,0,0,5,0,0,0,0,0,0,0,0,30,340,0,0,0,80,0,0,0,290,0,75,0,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0,0.0,0,0,0,0,0
71807,22,0,100,400,0,16.5,10.3,0,0,80,0,0,0,0,0,250,0,0,0,60,45,0,0,0,100,0,0,0,300,0,210,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71815,12,0,100,500,0,35.3,25.8,0,0,0,0,0,0,0,0,500,0,0,0,50,0,0,0,0,120,0,0,0,285,0,150,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71816,18,0,80,300,0,35.3,10.3,0,0,80,0,0,0,0,0,620,0,0,0,60,0,0,0,0,80,0,0,0,270,0,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71855,15,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,500,0,0,0,40,250,0,0,0,100,0,0,0,345,0,20,0,0,0,0,0,0,0.0,0,0,80,0,0,0.0,0,0.0,0,0,0,0,0
