HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
75830,2743,640
75832,1259,702
75839,807,930
75841,1438,901
75843,1560,634
75846,956,1173
75853,2616,955
75861,1052,810
75866,1469,752
75875,765,974
75884,1433,721
75885,655,1002
75894,739,846
75898,1430,681
75899,1509,535
75900,1602,475
75901,1527,912
75908,892,1338
75912,758,1280
75913,1307,961
75920,1550,1175
75923,1819,676
75929,618,746
75931,642,1260
75939,749,1015
75940,1631,890
75941,1757,949
75944,1368,1167
75971,2100,804
75987,2586,750
75989,1742,909
75990,1242,919
75997,1241,835
75998,1330,1046
76016,1643,846
76017,1627,905
76018,884,890
76027,1309,755
76028,744,691
76035,1239,1185
76037,1528,740
76038,1246,25
76039,1649,870
76045,741,934
76048,524,996
76052,1851,995
76053,1320,917
76064,1759,662
76066,1232,780
76083,651,1070
76084,1557,935
76085,1928,880
76090,1362,1200
76100,1866,665
76111,1743,666
76134,1914,631
76135,941,821
76136,1125,945
76140,1478,1325
76143,1476,885
76151,985,1287
76161,910,602
76162,1454,667
76169,2300,590
76178,1322,525
76179,1439,686
76181,961,1185
76182,1669,793
76189,1719,810
76190,1188,963
76215,899,497
76216,697,645
76220,1304,871
76228,1722,766
76238,849,772
76243,961,696
76247,1057,970
76285,1296,645
76286,2178,564
76287,1216,610
76293,2184,990
76298,1116,605
76299,707,592
76307,1171,643
76319,546,750
76334,1125,970
76336,1236,940
76340,1235,545
76341,1891,1196
76349,856,1235
76350,803,926
76359,1801,893
76366,1527,1114
76367,1409,782
76368,1052,727
76369,1086,1025
76370,1031,480
76377,2260,665
76385,1209,890
76394,1609,1010
76395,2273,853
76397,1486,881
76407,1864,633
76424,1970,955
76432,1814,755
76438,1567,845
76443,1741,986
76470,596,1085
76471,1457,933
76483,1702,800
76494,1714,703
76497,1286,830
76506,1039,516
76508,1141,740
76529,744,864
76530,1052,715
76535,2848,665
76536,1608,621
76541,316,984
76542,1316,1103
76543,726,1047
76546,904,595
76547,714,655
76561,2176,1190
76564,1606,723
76582,1493,957
76583,1320,840
76584,1268,848
76593,1730,715
76599,960,595
76600,1716,755
76601,976,577
76607,1496,741
76608,1221,731
76614,1634,455
76616,2212,721
76618,739,886
76626,700,975
76627,1044,866
76634,1775,857
76635,1164,617
76638,1716,590
76647,526,520
76649,1663,460
76651,2109,805
76653,2197,707
76669,1070,677
76678,1819,635
76682,2851,1139
76695,2072,1128
76696,1170,1385
76703,1989,1050
76705,677,970
76715,1174,889
76722,1284,732
76731,1420,756
76738,1450,945
76741,1301,805
76753,1616,590
76765,1833,897
76766,1585,955
76776,2989,1393
76781,1151,1273
76783,1551,868
76795,2033,1106
76798,1351,1033
76807,1611,1070
76813,1056,885
76827,1503,755
76831,2069,907
76835,1542,880
76852,1893,787
76853,1684,775
76883,1206,915
76884,1379,976
76904,1157,950
76920,1031,1221
76926,2281,976
76930,1645,1147
76939,2008,808
76947,1396,702
76955,2576,865
76958,996,1280
76963,1486,975
76964,2136,1195
76970,1976,750
76971,1849,696
76972,2216,810
76974,1523,1030
76980,1506,1098
76994,738,1419
76995,2972,1075
77009,3051,930
77018,2861,1048
77019,2254,1014
77026,1534,995
77027,1248,910
77028,1884,820
77040,3191,895
77042,1351,750
77062,2751,1115
77067,966,760
77068,1401,524
77082,2774,802
77084,2277,975
77090,1951,1002
77098,3330,820
77099,1691,853
77108,1199,933
77123,991,745
77124,917,949
77135,1816,715
77152,1513,1026
77155,1051,837
77156,1701,685
77172,2098,982
77180,1603,1020
77191,1896,690
77202,2096,607
77209,406,1184
77228,1507,1010
77244,2861,660
77255,1588,1055
77269,880,922
77270,1616,1107
77273,2939,1212
77274,2121,1200
77283,1361,727
77284,2779,780
77287,3971,970
77288,973,740
77293,1350,897
77294,1183,895
77298,2269,612
77299,1148,660
77333,2188,615
77335,1173,945
77347,1810,715
77348,1160,815
77349,2431,1055
77353,2410,1015
77355,1635,895
77366,973,935
77374,1267,985
77375,1384,760
77376,2844,1290
77385,2263,840
77386,1842,990
77387,1896,780
77388,1673,1240
77400,1864,920
77401,987,750
77425,2278,750
77429,1581,470
77435,1616,890
77442,1250,700
77443,962,600
77447,1647,850
77464,2196,550
77475,2717,600
77485,1511,870
77486,2266,590
77490,1214,870
77506,2110,930
77517,708,850
77518,1518,930
77573,740,830
77574,864,980
77582,1219,930
77583,3962,800
77598,1729,870
77608,1320,1300
77609,1374,930
77617,1929,550
77639,1530,850
77641,1650,750
77651,1698,980
77653,952,1040
77690,3152,900
77692,1426,770
77705,733,660
77706,1896,780
77729,1939,900
77730,921,1020
77768,1430,620
77779,1963,1010
77780,915,900
77785,1538,310
77786,1598,820
77800,2283,680
77802,1781,900
77809,1874,680
77810,1665,730
77838,2527,450
77839,1086,540
77850,1714,880
77851,878,1030
77861,2012,750
77862,1531,800
77872,2033,910
77883,1615,910
77895,1409,800
77897,1601,880
77905,1188,880
77921,2047,520
77922,1436,570
77932,1975,770
77934,2080,450
77935,1731,830
77951,2544,470
77959,1776,750
77981,1441,520
77988,2167,760
77989,2313,1050
77996,1441,450
78016,1517,570
78017,709,230
78022,1487,910
78046,1297,600
78052,2153,760
78053,680,780
78061,1739,970
78085,1302,590
78087,1345,350
78088,1611,580
78101,1646,730
78113,1061,480
78116,4320,820
78117,949,850
78127,1663,700
78138,1357,700
78139,1508,730
78140,1248,640
78152,1496,870
78171,2342,850
78201,1237,650
78203,2060,880
78219,2240,790
78221,1141,880
78247,1762,600
78262,1836,840
78285,2258,850
78290,1914,550
78294,1562,690
78296,649,950
78303,829,840
78304,1576,380
78305,1895,500
78324,1243,680
78335,1124,800
78340,1573,900
78354,1993,520
78365,2027,870
78395,2349,900
78397,1244,480
78405,2618,680
78406,2035,860
78408,1278,1730
78418,1405,1000
78434,1774,670
78435,2263,620
78436,1954,570
78453,1845,910
78463,1735,480
78472,1412,600
78473,2224,750
78476,1020,800
78478,612,870
78479,1374,770
78486,1087,600
78487,1856,750
78527,2065,420
78528,2045,520
78535,1790,730
78549,1494,420
78550,1533,500
78551,993,640
78564,1361,650
78573,1643,800
78577,1777,420
78599,2533,860
78600,1523,890
78608,1560,800
78609,1829,700
78610,2414,1120
78630,1848,670
78631,810,570
78644,1625,570
78652,1763,920
78663,2400,520
78664,1175,790
78666,502,850
78673,1607,740
78685,1595,350
78706,2817,780
78707,1900,650
78718,1764,950
78743,1364,470
78748,1804,800
78749,1309,1050
78756,1966,1090
78762,1519,720
78768,1158,500
78769,1209,600
78770,516,920
78791,1360,810
78810,1880,1080
78827,1325,720
78851,1560,1080
78861,1128,570
78876,3874,950
78906,993,800
78919,1639,620
78923,1375,890
78928,2229,600
78950,1438,900
78954,728,820
78955,1254,820
78956,1220,820
78962,1152,800
78984,3425,800
79002,2257,1010
79022,1315,810
79039,2221,850
79042,1380,720
79043,1911,820
79073,1541,910
79081,2301,870
79082,1875,690
79086,1699,850
79090,1223,900
79099,2511,580
79127,2263,420
79128,657,380
79131,1695,630
79137,906,1050
79146,1225,450
79149,2021,550
79150,1338,550
79176,2214,830
79190,2683,980
79191,1241,920
79193,1856,670
79207,1874,1060
79217,2195,830
79234,2240,850
79236,1748,730
79275,885,400
79278,1260,500
79279,2205,610
79290,1504,510
79301,1532,960
79319,1181,450
79331,2133,780
79345,990,1040
79352,1590,350
79353,1387,920
79355,1383,500
79377,2622,1080
79383,832,350
79390,2079,350
79396,1237,950
79427,1397,850
79434,2402,1010
79438,1135,840
79442,1484,900
79443,882,830
79450,2178,890
79452,1985,770
79453,2030,830
79454,1904,880
79458,2622,760
