HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
97642,2121,370
97659,1629,1060
97677,1722,790
97678,1741,630
97688,1743,680
97689,1626,530
97690,1124,820
97691,2749,820
97701,883,810
97702,947,820
97703,1899,1080
97704,1577,550
97714,1209,930
97749,1786,550
97751,1928,480
97752,1194,770
97753,1763,880
97754,2111,900
97755,2512,423
97756,1636,413
97757,1543,530
97765,1544,431
97766,1707,420
97767,1878,550
97778,1519,407
97779,1509,1080
97784,730,433
97785,1700,550
97791,2086,1370
97810,1229,600
97820,1504,800
97850,2140,1320
97851,1683,1300
97854,2527,668
97855,1371,557
97856,1848,570
97867,1751,570
97880,2206,680
97881,2073,1200
97887,1603,800
97888,2145,1090
97889,974,1020
97890,1059,1020
97891,1725,500
97892,2357,590
97908,1611,560
97909,1348,570
97921,2286,1400
97933,2027,530
97934,2136,970
97935,1575,850
97949,1798,1150
97950,1875,370
97951,2838,620
97965,842,570
97966,1201,550
97967,1348,670
97968,2540,550
97971,1066,500
97981,1919,629
97984,1054,1320
97985,1647,1030
97987,1883,1170
97988,2338,1100
97997,1495,1200
97998,1276,750
97999,1458,900
98000,1769,870
98007,944,1130
98008,1025,810
98045,1350,870
98046,1459,1090
98053,1261,400
98054,1976,405
98064,312,290
98065,498,400
98087,1833,700
98100,1931,650
98101,1590,520
98102,1837,1010
98103,1556,680
98111,1889,815
98112,1789,970
98113,1635,720
98114,2137,880
98121,1557,405
98122,1398,436
98123,2247,420
98124,1596,800
98135,1979,450
98141,2092,690
98142,2695,540
98150,809,530
98171,1576,1120
98178,1294,390
98180,2047,370
98202,2525,570
98211,2449,900
98212,2560,1190
98221,1073,780
98222,886,610
98223,994,910
98244,2753,1330
98254,1214,900
98255,2053,1040
