HeatNo,LFVD_LastTemperature
74583,1455.0
74591,1455.0
74592,
74593,1455.0
74604,1455.0
74613,1455.0
74623,1455.0
74625,1455.0
74626,1455.0
74643,1455.0
74673,1455.0
74677,1455.0
74678,1455.0
74687,1455.0
74695,1455.0
74696,1455.0
74697,1455.0
74729,1455.0
74735,1455.0
74742,1455.0
74780,1455.0
74781,1455.0
74790,1455.0
74792,1455.0
74803,1455.0
74809,1455.0
74810,1455.0
74811,1455.0
74846,1455.0
74848,1455.0
74849,1455.0
74857,1455.0
74858,1455.0
74885,1455.0
74891,1455.0
74893,1455.0
74894,1455.0
74898,1455.0
74899,1455.0
74909,1455.0
74910,1455.0
74911,1455.0
74915,1455.0
74916,1455.0
74922,1455.0
74934,1455.0
74941,1455.0
74952,1455.0
74953,1455.0
74954,1455.0
74992,1455.0
74993,1455.0
75000,1455.0
75001,1455.0
75016,1455.0
75025,1455.0
75046,1455.0
75056,1455.0
75069,1455.0
75088,1455.0
75097,1455.0
75099,1455.0
75118,1455.0
75119,1455.0
75120,1455.0
75137,1455.0
75139,1455.0
75148,1455.0
75150,1455.0
75161,1455.0
75181,1455.0
75188,1455.0
75189,1455.0
75195,1455.0
75196,1455.0
75197,1455.0
75206,1455.0
75215,1455.0
75225,1455.0
75226,1455.0
75227,1455.0
75236,1455.0
75247,1455.0
75255,1455.0
75266,1455.0
75277,1455.0
75278,1455.0
75281,1455.0
75286,1455.0
75290,1455.0
75298,1455.0
75299,1455.0
75309,1455.0
75310,1455.0
75320,1455.0
75321,1455.0
75322,1455.0
75323,1455.0
75328,1455.0
75332,1455.0
75343,1455.0
75344,1455.0
75353,1455.0
75356,1455.0
75364,1455.0
75387,1455.0
75394,1455.0
75404,1455.0
75417,1455.0
75423,1455.0
75424,1455.0
75426,1455.0
75434,1455.0
75435,1455.0
75444,1455.0
75446,1455.0
75464,1455.0
75465,1455.0
75466,1455.0
75478,1455.0
75490,1455.0
75492,1455.0
75501,1455.0
75502,1455.0
75510,1455.0
75511,1455.0
75513,1455.0
75541,1455.0
75542,1455.0
75543,1455.0
75554,1455.0
75557,1455.0
75576,1455.0
75577,1455.0
75589,1455.0
75596,1455.0
75597,1455.0
75604,1455.0
75619,1455.0
75630,1455.0
75641,1455.0
75650,1455.0
75651,1455.0
75660,1455.0
75661,1455.0
75663,1455.0
75670,1455.0
75671,1455.0
75679,1455.0
75688,1455.0
75699,1455.0
75700,1455.0
75702,1455.0
75710,1455.0
75711,1455.0
75721,1455.0
75732,1455.0
75741,1455.0
75742,1455.0
75743,1455.0
75751,1455.0
75752,1455.0
75756,1455.0
75765,1455.0
75766,1455.0
75783,1455.0
75784,1455.0
75798,1455.0
75820,1455.0
75821,1455.0
75822,1455.0
75823,1455.0
75830,1455.0
75832,1455.0
75839,1455.0
75841,1455.0
75843,1455.0
75846,1455.0
75853,1455.0
75861,1455.0
75866,1455.0
75875,1455.0
75884,1455.0
75885,1455.0
75894,1455.0
75898,1455.0
75899,1455.0
75900,1455.0
75901,1455.0
75908,1455.0
75912,1455.0
75913,1455.0
75920,1455.0
75923,1455.0
75929,1455.0
75931,1455.0
75939,1455.0
75940,1455.0
75941,1455.0
75944,1455.0
75971,1455.0
75987,1455.0
75989,1455.0
75990,1455.0
75997,1455.0
75998,1455.0
76016,1455.0
76017,1455.0
76018,1455.0
76027,1455.0
76028,1455.0
76035,1455.0
76037,1455.0
76038,1455.0
76039,1455.0
76045,1455.0
76048,1455.0
76052,1455.0
76053,1455.0
76064,1455.0
76066,1455.0
76083,1455.0
76084,1455.0
76085,1455.0
76090,1455.0
76100,1455.0
76111,1455.0
76134,1455.0
76135,1455.0
76136,1455.0
76140,1455.0
76143,1455.0
76151,1455.0
76161,1455.0
76162,1455.0
76169,1455.0
76178,1455.0
76179,1455.0
76181,1455.0
76182,1455.0
76189,1455.0
76190,1455.0
76215,1455.0
76216,1455.0
76220,1455.0
76228,1455.0
76238,1455.0
76243,1455.0
76247,1455.0
76285,1455.0
76286,1455.0
76287,1455.0
76293,1455.0
76298,1455.0
76299,1455.0
76307,1455.0
76319,1455.0
76334,1455.0
76336,1455.0
76340,1455.0
76341,1455.0
76349,1455.0
76350,1455.0
76359,1455.0
76366,1455.0
76367,1455.0
76368,1455.0
76369,1455.0
76370,1455.0
76377,1455.0
76385,1455.0
76394,1455.0
76395,1455.0
76397,1455.0
76407,1455.0
76424,1455.0
76432,1455.0
76438,1455.0
76443,1455.0
76470,1455.0
76471,1455.0
76483,1455.0
76494,1455.0
76497,1455.0
76506,1455.0
76508,1455.0
76529,1455.0
76530,1455.0
76535,1455.0
76536,1455.0
76541,1455.0
76542,1455.0
76543,1455.0
76546,1455.0
76547,1455.0
76561,1455.0
76564,1455.0
76582,1455.0
76583,1455.0
76584,1455.0
76593,1455.0
76599,1455.0
76600,
76601,1455.0
76607,1455.0
76608,1455.0
76614,1455.0
76616,1455.0
76618,1455.0
76626,1455.0
76627,1455.0
76634,1455.0
76635,1455.0
76638,1455.0
76647,1455.0
76649,1455.0
76651,1455.0
76653,1455.0
76669,1455.0
76678,1455.0
76682,1455.0
76695,1455.0
76696,1455.0
76703,1455.0
76705,1455.0
76715,1455.0
76722,1455.0
76731,1455.0
76738,1455.0
76741,1455.0
76753,1455.0
76765,1455.0
76766,1455.0
76776,1455.0
76781,1455.0
76783,1455.0
76795,1455.0
76798,1455.0
76807,1455.0
76813,1455.0
76827,1455.0
76831,1455.0
76835,1455.0
76852,1455.0
